encoding,food_count,food_pattern,grid,episodes,avg_reward,std_reward,avg_score,std_score,avg_steps,win_rate,total_wins
basic,1,center_biased,6x6,100,454.9983126520463,185.41067574963216,5.17,1.155181563410897,19.21,0.0,0
basic,1,corners,6x6,100,299.63307407919916,159.32072024046352,4.17,1.101468257932258,20.84,0.0,0
basic,1,edge_biased,6x6,100,332.1993571524542,154.3414313164767,4.4,1.0249414863810764,22.2,0.0,0
basic,1,uniform,6x6,100,377.38325552854354,147.80041777336126,4.69,0.9712534856222308,20.59,0.0,0
basic,2,center_biased,6x6,100,468.7146928540787,167.6897527286453,5.31,1.0981619170047723,14.31,0.0,0
basic,2,corners,6x6,100,370.676908568191,170.599819073479,4.65,1.1403968828899222,17.62,0.0,0
basic,2,edge_biased,6x6,100,377.4805599820616,159.7065961388927,4.71,1.0473149893268439,17.08,0.0,0
basic,2,uniform,6x6,100,418.60881724608026,174.2850697263247,5.0,1.1191627462193567,16.82,0.0,0
basic,3,center_biased,6x6,100,522.6669956575512,274.535046346534,5.65,1.5851265762160016,13.18,0.0,0
basic,3,corners,6x6,100,394.80371230388414,182.18438229997946,4.8,1.2226812728383043,14.79,0.0,0
basic,3,edge_biased,6x6,100,456.68494753291736,170.60388932028098,5.24,1.1111919162536574,15.58,0.0,0
basic,3,uniform,6x6,100,426.72556168885995,187.75512805872887,5.03,1.234643039239858,14.37,0.0,0
basic,5,center_biased,6x6,100,598.1832544552889,282.38065458781995,6.1,1.5922793521720786,11.8,0.0,0
basic,5,corners,6x6,100,482.56060085409064,217.7865656487155,5.36,1.3963878364906326,13.25,0.0,0
basic,5,edge_biased,6x6,100,483.282528944986,208.56271349830726,5.41,1.3713887379977536,12.9,0.0,0
basic,5,uniform,6x6,100,508.49438488217936,175.7894570596806,5.56,1.1748199948085756,12.52,0.0,0
basic,8,center_biased,6x6,100,732.6971341630956,418.5341455588004,6.78,2.0868999772752685,10.58,0.0,0
basic,8,corners,6x6,100,527.2910743896081,213.64315308651786,5.72,1.400432833524022,11.65,0.0,0
basic,8,edge_biased,6x6,100,554.0493802694518,257.29726454750164,5.84,1.5551803299250733,11.46,0.0,0
basic,8,uniform,6x6,100,600.6359819932094,221.14642047484705,6.13,1.3532975066163915,11.6,0.0,0
basic,14,center_biased,6x6,100,952.5448999572845,689.8821792267835,7.65,2.9860788111948198,9.9,0.0,0
basic,14,corners,6x6,100,663.9529147549298,356.3041905000713,6.42,1.9236959376694807,9.63,0.0,0
basic,14,edge_biased,6x6,100,684.0868392717504,273.18400945957876,6.67,1.5702730895476673,10.18,0.0,0
basic,14,uniform,6x6,100,719.8034143076652,430.0618888663968,6.75,2.06155281280883,10.0,0.0,0
bodyaware,1,center_biased,6x6,100,760.2221445985891,161.00993838331152,7.27,1.033333333333333,27.14,0.0,0
bodyaware,1,corners,6x6,100,727.4505761285031,197.73103151328388,7.04,1.2864484035317914,36.68,0.0,0
bodyaware,1,edge_biased,6x6,100,723.7061488465262,167.96496644053263,7.02,1.1099185519303623,35.74,0.0,0
bodyaware,1,uniform,6x6,100,775.7184631717572,133.42100448057474,7.37,0.8721852272923859,34.63,0.0,0
bodyaware,2,center_biased,6x6,100,812.7267567828344,193.626142644191,7.55,1.1403968828899222,20.85,0.0,0
bodyaware,2,corners,6x6,100,713.4943914187091,215.53022477157492,6.93,1.3428072509229732,25.8,0.0,0
bodyaware,2,edge_biased,6x6,100,741.927873121984,214.02166987068227,7.11,1.2783749153681103,27.34,0.0,0
bodyaware,2,uniform,6x6,100,723.7927522823743,204.52544270819996,7.0,1.2712834523274559,23.49,0.0,0
bodyaware,3,center_biased,6x6,100,817.6144166676725,242.6591425248863,7.53,1.3215769582455865,17.37,0.0,0
bodyaware,3,corners,6x6,100,754.2178082476588,238.98576542115802,7.15,1.4025589888385148,21.46,0.0,0
bodyaware,3,edge_biased,6x6,100,747.0706317111202,228.45747369885154,7.11,1.3990978334179307,21.53,0.0,0
bodyaware,3,uniform,6x6,100,790.0390903449094,246.76624761380387,7.37,1.425985393836256,20.65,0.0,0
bodyaware,5,center_biased,6x6,100,827.1885837313042,280.07376009424775,7.54,1.5203667819033508,13.91,0.0,0
bodyaware,5,corners,6x6,100,830.237976330041,228.8534699153598,7.61,1.2544466364243492,18.22,0.0,0
bodyaware,5,edge_biased,6x6,100,775.68418592736,271.7422444645621,7.25,1.559428799855313,17.57,0.0,0
bodyaware,5,uniform,6x6,100,817.8341626437818,257.2514258806113,7.52,1.4597633681213857,16.85,0.0,0
bodyaware,8,center_biased,6x6,100,995.4674466632905,282.47577419010497,8.48,1.2511005256383376,13.15,0.0,0
bodyaware,8,corners,6x6,100,890.1337879682744,262.21745582900576,7.92,1.3534840937074926,15.65,0.0,0
bodyaware,8,edge_biased,6x6,100,944.4677884411981,277.8176956381259,8.18,1.3437472104739665,15.46,0.0,0
bodyaware,8,uniform,6x6,100,916.8242864904576,358.6714132645998,7.93,1.8049035341748239,13.88,0.0,0
bodyaware,14,center_biased,6x6,100,1095.614115967481,376.3878538738277,8.8,1.6143297699232975,11.38,0.0,0
bodyaware,14,corners,6x6,100,980.1685863823365,360.847144272892,8.25,1.659834481221096,12.18,0.0,0
bodyaware,14,edge_biased,6x6,100,924.9573946972888,359.72466784807807,8.0,1.7922391615298474,11.81,0.0,0
bodyaware,14,uniform,6x6,100,1005.2661188444663,371.687074239026,8.33,1.7410956726768754,11.93,0.0,0
distance,1,center_biased,6x6,100,1784.0943178949403,988.0297713652978,11.06,3.4694045132800073,45.32,0.0,0
distance,1,corners,6x6,100,1675.9054905429468,1014.1794551857147,10.54,3.820254367753989,56.65,0.0,0
distance,1,edge_biased,6x6,100,1745.20577742688,925.7316380275654,10.99,3.227079237335273,56.19,0.0,0
distance,1,uniform,6x6,100,1863.889546486027,1058.4337259259808,11.35,3.621972786850677,56.9,0.0,0
distance,2,center_biased,6x6,100,1828.2023395158571,1078.009952395938,11.19,3.4661275804621505,31.84,0.0,0
distance,2,corners,6x6,100,2133.7505384165856,1534.2078635791026,11.77,4.781815301301126,43.2,0.0,0
distance,2,edge_biased,6x6,100,2306.725951812781,1501.9315379224172,12.57,4.42503210055126,45.37,0.0,0
distance,2,uniform,6x6,100,1894.521663703777,1154.6482029731044,11.32,3.956531487823826,38.87,0.0,0
distance,3,center_biased,6x6,100,2316.6990188515533,1291.9007739645774,12.72,3.843083778594077,32.06,0.0,0
distance,3,corners,6x6,100,2462.6669425958116,1654.5802542573356,12.91,4.675521901403633,38.38,0.0,0
distance,3,edge_biased,6x6,100,2676.085313208511,1853.984693327962,13.33,5.395574318107594,38.76,0.0,0
distance,3,uniform,6x6,100,2144.3676469144966,1313.0498065642246,12.12,4.151864617010024,34.01,0.0,0
distance,5,center_biased,6x6,100,2390.3469219405238,1421.9800279918516,12.83,4.29247638727967,23.93,0.0,0
distance,5,corners,6x6,100,2576.354685466792,1812.730421767205,13.02,5.266589949575503,28.19,0.0,0
distance,5,edge_biased,6x6,100,2770.7045073897893,1901.2498802111943,13.65,5.278840934917589,30.52,0.0,0
distance,5,uniform,6x6,100,2551.9771522503847,1756.9461698932955,12.95,5.316973012927751,27.84,0.0,0
distance,8,center_biased,6x6,100,2735.035613777602,1832.2753840089454,13.69,4.852771779034528,20.41,0.0,0
distance,8,corners,6x6,100,3136.848682696439,2420.3398990555834,14.33,6.292620337114793,24.63,0.0,0
distance,8,edge_biased,6x6,100,3319.5506932957705,2560.421510964183,14.7,6.626393506960698,24.76,0.0,0
distance,8,uniform,6x6,100,2929.6174785281924,1840.2906683764118,14.21,5.065819307133375,24.24,0.0,0
distance,14,center_biased,6x6,100,3549.41149205819,2315.3522720721685,15.66,5.74055218545563,19.15,0.0,0
distance,14,corners,6x6,100,3037.710134051924,2426.9714696584206,14.07,6.299358633378416,18.67,0.0,0
distance,14,edge_biased,6x6,100,3446.0134182227366,2576.90835593285,15.13,6.40967545152946,19.8,0.0,0
distance,14,uniform,6x6,100,3712.4277466142216,2520.1897658568864,15.77,6.5147152778548305,20.38,0.0,0
localgrid,1,center_biased,6x6,100,-46.14909166666666,16.307440941090707,0.12,0.32659863237109044,4.0,0.0,0
localgrid,1,corners,6x6,100,-49.16289444444445,9.187069541710034,0.03,0.1714466079977653,4.0,0.0,0
localgrid,1,edge_biased,6x6,100,-48.262455555555555,12.69657029200005,0.06,0.23868325657594197,4.0,0.0,0
localgrid,1,uniform,6x6,100,-48.599941666666666,12.207481109244899,0.06,0.23868325657594203,4.0,0.0,0
localgrid,2,center_biased,6x6,100,-34.481728209224,27.74316130002555,0.34,0.5359782899266792,4.0,0.0,0
localgrid,2,corners,6x6,100,-43.611422222222224,16.869276517909288,0.13,0.33799766898963113,4.0,0.0,0
localgrid,2,edge_biased,6x6,100,-44.91954921788948,18.790286188822254,0.11,0.3450955072018601,4.0,0.0,0
localgrid,2,uniform,6x6,100,-40.33830954689008,24.336023972186986,0.21,0.4560480215720686,4.0,0.0,0
localgrid,3,center_biased,6x6,100,-23.14721119189304,33.69422518576881,0.55,0.6256309946079569,4.0,0.0,0
localgrid,3,corners,6x6,100,-43.25673810677838,19.081786287127112,0.13,0.3666666666666667,4.0,0.0,0
localgrid,3,edge_biased,6x6,100,-40.788734546890076,23.18982657462589,0.18,0.43531017619043716,4.0,0.0,0
localgrid,3,uniform,6x6,100,-42.751573435778965,22.431622266106498,0.16,0.4197161137740797,4.0,0.0,0
localgrid,5,center_biased,6x6,100,-11.302866721903879,40.0121955235875,0.76,0.6980492298346352,4.0,0.0,0
localgrid,5,corners,6x6,100,-37.259680555555555,21.69017396748074,0.25,0.4351941398892445,4.0,0.0,0
localgrid,5,edge_biased,6x6,100,-37.58472222222222,22.23237625408562,0.25,0.4351941398892447,4.0,0.0,0
localgrid,5,uniform,6x6,100,-29.946440533891856,31.225771946836314,0.4,0.5860327153276883,4.0,0.0,0
localgrid,8,center_biased,6x6,100,19.414568522167002,52.42355411967052,1.27,0.8391313449880262,4.0,0.0,0
localgrid,8,corners,6x6,100,-24.915553640670222,32.732033237792955,0.48,0.6110100926607787,4.0,0.0,0
localgrid,8,edge_biased,6x6,100,-26.01876726067268,32.48390824786965,0.46,0.5932277740625367,4.0,0.0,0
localgrid,8,uniform,6x6,100,-12.519090751688857,47.03590370233315,0.7,0.8102873913406629,4.0,0.0,0
localgrid,14,center_biased,6x6,100,51.85343324010806,52.813061381882775,1.78,0.7859884081701065,4.0,0.0,0
localgrid,14,corners,6x6,100,-12.086819606008303,38.40991137168064,0.72,0.6974701760395539,4.0,0.0,0
localgrid,14,edge_biased,6x6,100,-2.295999867132708,42.654998756524265,0.89,0.723278171336114,4.0,0.0,0
localgrid,14,uniform,6x6,100,21.623828125290224,45.66943366991905,1.31,0.7343656645656367,4.0,0.0,0
raycasting,1,center_biased,6x6,100,168.64973555798076,90.87611174550598,3.31,0.6620293258480535,17.61,0.0,0
raycasting,1,corners,6x6,100,175.37812669220776,68.59514881655616,3.34,0.6994947671662236,19.63,0.0,0
raycasting,1,edge_biased,6x6,100,166.80148426029606,73.76169450551546,3.23,0.7227193316379688,18.83,0.0,0
raycasting,1,uniform,6x6,100,170.79807797160743,103.49590117526209,3.33,0.7393007889659368,22.25,0.0,0
raycasting,2,center_biased,6x6,100,213.73696209602625,110.35105328704833,3.61,0.8515582864088135,12.17,0.0,0
raycasting,2,corners,6x6,100,181.87456869544565,90.48791702765317,3.35,0.7833494518006404,14.88,0.0,0
raycasting,2,edge_biased,6x6,100,185.16770289954928,82.43598409367746,3.4,0.7521014330903548,13.93,0.0,0
raycasting,2,uniform,6x6,100,207.32872302293296,96.53011400956694,3.59,0.7398471040517339,14.63,0.0,0
raycasting,3,center_biased,6x6,100,245.32252681629393,133.76995308763478,3.86,0.9430232920203666,10.36,0.0,0
raycasting,3,corners,6x6,100,231.2576074468657,151.18049333774337,3.7,1.123666437438737,12.61,0.0,0
raycasting,3,edge_biased,6x6,100,201.88331401122636,102.69334316261504,3.5,0.7977240352174656,12.54,0.0,0
raycasting,3,uniform,6x6,100,206.3679642642878,102.93258048016153,3.55,0.821122660899347,11.86,0.0,0
raycasting,5,center_biased,6x6,100,277.30026730260875,142.99859190722356,4.06,0.9931075602685873,8.22,0.0,0
raycasting,5,corners,6x6,100,226.09055813486972,137.96945037868528,3.65,1.048086279122501,9.69,0.0,0
raycasting,5,edge_biased,6x6,100,266.12880769672375,161.7878700152867,3.93,1.156929059400294,9.81,0.0,0
raycasting,5,uniform,6x6,100,227.1967984291355,124.10102289899498,3.69,0.9177816909936874,9.61,0.0,0
raycasting,8,center_biased,6x6,100,313.49803929166285,178.93541783277516,4.29,1.2168430756293398,7.32,0.0,0
raycasting,8,corners,6x6,100,287.3156102059388,167.68898010110323,4.08,1.1949388218142334,8.43,0.0,0
raycasting,8,edge_biased,6x6,100,289.1128968845119,149.73526078376946,4.14,1.01523744548114,8.36,0.0,0
raycasting,8,uniform,6x6,100,322.7115434784842,165.98310082111334,4.34,1.1211465992320977,8.92,0.0,0
raycasting,14,center_biased,6x6,100,402.1917655781472,192.5186136062433,4.89,1.2544466364243492,6.81,0.0,0
raycasting,14,corners,6x6,100,373.9661787283733,217.04389590782745,4.69,1.4681466362235571,7.79,0.0,0
raycasting,14,edge_biased,6x6,100,407.3504989607554,221.4449141832061,4.94,1.462114146630754,7.87,0.0,0
raycasting,14,uniform,6x6,100,454.1740911365287,232.814263156661,5.2,1.5504968249049735,7.77,0.0,0
